작성자,작성일자,내용,태그,리트윗수,마음수,조회수
원작정주행,2023-03-21 0:25,재밌게 보다가도 욱일기 논란 생각나면 갑자기 기분 식음. 어쩔 수 없음.,#욱일기 #우익논란,1196,5393,23425
염주님,2023-02-20 23:42,렌고쿠 쿄쥬로... 당신은 빛 그 자체... 무한열차 다시 보고 오열 중 ㅠㅠ,#최애캐 #렌고쿠,72,483,5104
기유는사랑입니다,2023-02-15 21:06,유포테이블 카페 콜라보 메뉴 예쁘고 맛있었다! 특전 아크릴도 겟.,#귀칼굿즈 #무한열차 #유포카페,87,408,6474
우즈이텐겐,2023-01-22 12:08,도공마을편 작화도 좋았지만 개인적으론 유곽편의 화려함이 최고였던 듯.,#유포터블 #작화,31,7,341
연주님,2023-01-13 3:07,유포테이블 카페 콜라보 메뉴 예쁘고 맛있었다! 특전 아크릴도 겟.,#귀칼굿즈 #무한열차 #유포카페,3,24,4661
하주님,2022-12-28 2:49,아직도 탄지로 귀걸이 욱일기라고 모르는 사람 많더라. 논란은 알고 소비해야지.,#욱일기 #우익논란 #귀멸의칼날논란,90,287,6650
음주님,2022-12-22 22:41,캐릭터 디자인이 욱일기 말고도 다른 문양 표절 논란도 있지 않았나?,#욱일기 #우익논란 #귀멸의칼날논란,20,193,319
시노부짱팬,2022-12-12 4:47,"스토리 개연성 지적하는 사람들도 많던데, 작화가 너무 좋아서 묻히는 느낌.",#욱일기 #우익논란,505,1052,60757
기유는사랑입니다,2022-12-03 5:17,오니들한테도 각자 슬픈 서사가 있는 게 귀멸의 칼날 최고 매력 포인트.,#귀칼스토리 #원작만화,78,195,7122
우즈이텐겐,2022-11-30 4:56,"귀살대 주들, 한 명 한 명 서사가 너무 기구해서 눈물 없인 볼 수 없음.",#귀칼스토리 #원작만화 #세계관,21,345,7521
귀칼과몰입오타쿠,2022-11-28 8:07,애니플렉스에서 나온 시노부 1/8 스케일 피규어 퀄리티 대박임.,#귀칼굿즈 #무한열차 #유포카페,54,127,9063
탄지로오시,2022-11-17 15:30,십이귀월 설정 진짜 잘 짰다. 상현과 하현의 격차 보여주는 것도 좋았음.,#귀칼스토리 #원작만화 #세계관,75,59,9332
수주님,2022-10-27 1:23,애니플렉스에서 나온 시노부 1/8 스케일 피규어 퀄리티 대박임.,#귀칼굿즈 #무한열차,13,482,8215
토키토무이치로,2022-10-05 1:18,작가가 역사 인식이 부족한 듯. 작품은 재밌지만 욱일기 논란은 쉴드 불가.,#욱일기 #우익논란 #귀멸의칼날논란,8,395,6506
귀칼과몰입오타쿠,2022-10-01 18:22,"귀칼 특유의 개그씬, 애니로 보니까 더 웃기고 재밌음 ㅋㅋ",#유포터블 #작화,79,168,203
귀칼과몰입오타쿠,2022-09-23 19:43,무잔은 최종보스로서의 카리스마가 좀 부족하지 않았나 싶음.,#귀칼스토리 #원작만화,69,76,8077
오니도서사있다,2022-09-16 8:54,유포터블 작화는 진짜 전설이다. 환락의 거리 편 전투씬은 극장판인 줄 알았음.,#유포터블 #작화 #전투씬,97,383,1779
토키토무이치로,2022-09-08 4:52,"물의 호흡, 히노카미 카구라 연출 볼 때마다 소름 돋아. 이걸 어떻게 만들었지?",#유포터블 #작화,95,270,3625
이구로오바나이,2022-09-05 12:39,"탄지로 귀걸이 문양, 욱일기 연상돼서 진짜 불편함. 수정됐다지만 원작 생각하면 찝찝해.",#욱일기 #우익논란,49,381,6219
무한열차N차관람,2022-09-01 21:12,"귀칼 특유의 개그씬, 애니로 보니까 더 웃기고 재밌음 ㅋㅋ",#유포터블 #작화 #전투씬,74,201,9344
원작정주행,2022-08-23 0:23,극장판 특전 받으려고 새벽부터 줄 섰던 기억... 그래도 뿌듯했다.,#귀칼굿즈 #무한열차 #유포카페,21,75,2871
젠이츠사랑해,2022-08-18 12:43,이번에 나온 제일복권(이치방쿠지) 라인업 미쳤다... 지갑 텅텅 빌 예정.,#귀칼굿즈 #무한열차 #유포카페,17,376,1412
음주님,2022-08-05 2:50,성우들 연기력이 미쳤음. 특히 젠이츠 성우분은 거의 성대모사 수준.,#유포터블 #작화,5,109,7578
작화분석가,2022-08-03 7:33,가끔 일상 파트 너무 질질 끄는 감이 없지 않아... 전투씬만 보고 싶을 때도 있음.,#유포터블 #작화 #전투씬,807,5154,161209
유포터블의노예,2022-07-30 6:18,"正直(솔직히), 오니 중에서 아카자가 제일 서사가 깊고 슬펐음.",#최애캐 #렌고쿠,1305,4939,193677
무한열차N차관람,2022-07-25 11:48,다이쇼 시대 배경 자체에서 오는 거부감이 있음. 미화 논란도 있고.,#욱일기 #우익논란,18,339,9139
음주님,2022-07-12 14:49,귀칼 오케스트라 콘서트 예매 성공! 라이브로 OST 들을 생각에 두근거림.,#귀칼굿즈 #무한열차,53,200,3972
원작정주행,2022-07-11 22:55,기유시노 커플링 미는 사람? 둘의 티키타카가 너무 좋음.,#최애캐 #렌고쿠,99,301,6495
오니도서사있다,2022-07-10 9:35,십이귀월 설정 진짜 잘 짰다. 상현과 하현의 격차 보여주는 것도 좋았음.,#귀칼스토리 #원작만화,1755,2904,30132
오니도서사있다,2022-07-10 3:00,극장판 특전 받으려고 새벽부터 줄 섰던 기억... 그래도 뿌듯했다.,#귀칼굿즈 #무한열차 #유포카페,1789,5623,73867
이구로오바나이,2022-07-04 2:18,작가가 역사 인식이 부족한 듯. 작품은 재밌지만 욱일기 논란은 쉴드 불가.,#욱일기 #우익논란 #귀멸의칼날논란,14,399,4324
하주님,2022-06-22 14:02,"스토리 개연성 지적하는 사람들도 많던데, 작화가 너무 좋아서 묻히는 느낌.",#욱일기 #우익논란 #귀멸의칼날논란,82,49,5023
렌고쿠의의지,2022-05-26 7:01,성우들 연기력이 미쳤음. 특히 젠이츠 성우분은 거의 성대모사 수준.,#유포터블 #작화 #전투씬,22,316,4260
음주님,2022-05-24 5:13,귀칼 오케스트라 콘서트 예매 성공! 라이브로 OST 들을 생각에 두근거림.,#귀칼굿즈 #무한열차,55,143,8911
귀칼과몰입오타쿠,2022-05-13 5:28,재밌게 보다가도 욱일기 논란 생각나면 갑자기 기분 식음. 어쩔 수 없음.,#욱일기 #우익논란 #귀멸의칼날논란,1174,3599,71155
연주님,2022-04-30 2:40,캐릭터 디자인이 욱일기 말고도 다른 문양 표절 논란도 있지 않았나?,#욱일기 #우익논란,35,464,5567
벽력일섬,2022-04-22 15:15,"탄지로 귀걸이 문양, 욱일기 연상돼서 진짜 불편함. 수정됐다지만 원작 생각하면 찝찝해.",#욱일기 #우익논란,55,337,3258
벽력일섬,2022-04-20 23:47,극장판 특전 받으려고 새벽부터 줄 섰던 기억... 그래도 뿌듯했다.,#귀칼굿즈 #무한열차 #유포카페,92,164,4904
토키토무이치로,2022-04-02 12:55,우익 논란 있는 작품이라 솔직히 볼 때마다 마음 한구석이 불편함. 작화가 아까울 정도.,#욱일기 #우익논란 #귀멸의칼날논란,92,412,9082
연주님,2022-03-04 16:13,3D 연출이 가끔 너무 튀어서 2D 작화랑 따로 노는 느낌이라 거슬림.,#유포터블 #작화,62,104,3833
유포터블의노예,2022-03-01 9:13,작가가 역사 인식이 부족한 듯. 작품은 재밌지만 욱일기 논란은 쉴드 불가.,#욱일기 #우익논란,70,94,7261
수주님,2022-02-21 0:54,가끔 정지컷이나 슬로우모션을 너무 남발하는 경향이 있는 것 같아.,#유포터블 #작화 #전투씬,12,126,151
렌고쿠의의지,2022-01-19 14:08,여성 캐릭터를 소비하는 방식이 너무 낡았음. 싸우는 여캐는 좋은데 결국 남자한테 기대는 서사.,#욱일기 #우익논란,12,496,1226
굿즈수집가,2022-01-11 13:32,원작 초월이라는 말이 딱 맞는 애니. 유포터블이 작품을 살렸다.,#유포터블 #작화,69,380,2696
오니도서사있다,2022-01-09 22:36,"'귀멸의 칼날: 히노카미 혈풍담' 게임 해봤는데, 스토리 모드 연출은 좋더라.",#귀칼굿즈 #무한열차 #유포카페,92,182,7814
