작성자,작성일자,내용,태그,리트윗수,마음수,조회수
팝업스토리,2024-12-17 18:21,팝업스토어 직원분이 가나디 목소리로 인사해주셔서 귀여웠어 ㅋㅋ,#가나디팝업,12,23,4571
캐릭터분석가,2024-12-14 14:12,가나디 팝업 음향까지 신경쓴 게 느껴져서 몰입감 최고였어,#가나디팝업 #더현대서울,35,23,1461
굿즈수집가,2024-12-10 23:11,가나디 표정 하나하나가 밈이 되는 마법... 듀아아아,#듀아아아,15,160,1240
토끼사랑,2024-12-06 1:12,가나디 표정 하나하나가 밈이 되는 마법... 듀아아아,#듀아아아 #가나디밈,23,183,2611
소비자리뷰,2024-12-02 1:31,가나디 바나나우유 맛도 좋고 패키지도 귀여워서 일석이조,#CU콜라보 #스파오가나디,5,191,1089
캐릭터매니아,2024-12-01 12:39,듀아아아아~ 너무 귀여워서 웃음이 멈추지 않아 💕,#듀아아아 #가나디밈,33,125,3851
토끼덕후,2024-11-29 13:30,오늘도 가나디 덕분에 힐링 듀~ 🌸,#듀아아아 #가나디밈,32,135,1543
가나디팬,2024-11-28 19:30,가나디 보면 자동으로 '듀아아아' 나오는 건 나뿐인가 ㅋㅋ,#듀아아아 #가나디밈,1,116,3112
무해덕후,2024-11-28 12:08,가나디 굿즈 인증샷 찍었는데 어떤 각도가 제일 예쁜 것 같나요?,#가나디팬아트,379,407,54406
힐링캐릭터,2024-11-24 15:50,가나디 관련 해시태그 트렌드 보는 재미가 쏠쏠해,#가나디팬아트,2,72,3570
듀덕후,2024-11-22 13:35,CU 가서 가나디 콜라보 제품만 찾게 되는 건 나뿐인가 ㅋㅋ,#CU콜라보,32,200,1025
팝업스토리,2024-11-22 9:29,가나디 2차 창작물들 퀄리티 대박... 팬들 실력이 이 정도라니,#가나디팬아트 #굿즈인증,30,169,957
문화관찰자,2024-11-11 2:07,다른 분들 가나디 굿즈 컬렉션 어떻게 정리했는지 궁금해요 꿀팁 구해요,#가나디팬아트 #굿즈인증,6,65,3520
강아지덕후,2024-11-05 8:50,듀~ 가나디만큼 무해하고 귀여운 캐릭터가 또 있을까,#듀아아아 #가나디밈,28,132,536
굿즈리뷰어,2024-11-03 15:02,콜라보 제품 나올 때마다 지갑이 얇아져... 가나디의 마법인가 💸,#CU콜라보,47,145,3959
