작성자,작성일자,내용,태그,리트윗수,마음수,조회수
헌트릭스컴백좀,2025-08-11 7:55,"스토리가 좀 급전개인 부분이 있긴 한데, 캐릭터 매력으로 다 커버하는 중.",#K컬쳐 #세계관,93,538,10079
애니메이션평론가,2025-08-11 7:15,새우깡 한 박스 샀는데 미라 얼굴만 12개 나옴... 랜덤 너무 심한 거 아니냐고.,#공식굿즈 #재고관리 #넷플릭스일해라,97,284,8594
헌트릭스컴백좀,2025-08-10 5:12,오프닝 시퀀스 연출이랑 음악 비트 매치가 완벽해서 시작부터 소름돋음.,#K팝데몬헌터스 #OST,1917,6523,107934
아이돌덕후,2025-08-09 6:10,콜라보 제품 재고관리가 너무 부실함. 맨날 품절이라 구경도 못 해봤다.,#공식굿즈 #재고관리 #넷플릭스일해라,2179,8884,82768
공식굿즈존버단,2025-08-08 13:09,"극중에 나온 떡볶이, 라면, 치킨 보니까 야식 땡겨 죽겠다. K푸드 묘사 완벽.",#K컬쳐 #세계관,58,161,1130
KDH과몰입,2025-08-06 13:17,영화 초반부에 나온 발라드 OST 음원 발매 시급합니다. 멜로디가 머리에서 떠나질 않아.,#K팝데몬헌터스 #OST #영화리뷰,41,616,13987
아이돌덕후,2025-08-05 16:50,솔직히 라이벌인 사자보이즈 컨셉 너무 좋지 않음? 피카레스크 매력 대박.,#헌트릭스 #사자보이즈 #루미,79,546,1064
미라센터기원,2025-08-03 15:39,새우깡에 헌트릭스 얼굴이라니... 이건 못 참지. 당장 사러 간다.,#농심콜라보 #신라면 #새우깡,1041,6780,110448
애니메이션평론가,2025-08-02 19:52,공식 굿즈를 안 내주니까 비공식 굿즈 플미만 엄청 붙어서 속상함.,#공식굿즈 #재고관리 #넷플릭스일해라,41,692,10505
아이돌덕후,2025-08-02 10:29,공식 굿즈를 안 내주니까 비공식 굿즈 플미만 엄청 붙어서 속상함.,#공식굿즈 #재고관리 #넷플릭스일해라,879,5786,278165
더피귀여워,2025-08-02 4:00,"안무가 실제 K팝 안무가가 참여했다던데, 그래서 그런지 퀄리티가 다르네.",#K팝데몬헌터스 #OST #영화리뷰,17,200,3972
K컬쳐사랑해,2025-07-26 2:45,공식 굿즈가 없으니까 팬들이 자체제작 굿즈 만들고 있음. 이게 맞냐고.,#공식굿즈 #재고관리 #넷플릭스일해라,104,241,2003
포카만들어주세요,2025-07-25 13:21,제발... 헌트릭스 공식 앨범이랑 포토카드 좀 내주세요... 현기증 난단 말이에요.,#공식굿즈 #재고관리 #넷플릭스일해라,1440,10305,348714
K컬쳐사랑해,2025-07-24 12:43,"영화에 나온 안무, 벌써 틱톡 챌린지로 유행 중 ㅋㅋㅋ.",#K팝데몬헌터스 #OST #영화리뷰,64,692,6929
조이음색요정,2025-07-23 7:03,"영상미, 음악 다 좋은데... 러닝타임이 좀 짧아서 아쉬웠음. 2시간은 넘었어야지.",#K팝데몬헌터스 #OST #영화리뷰,107,708,7765
헌트릭스오시,2025-07-23 0:43,아니 영화가 이렇게 떴는데 아직도 공식 응원봉 하나 없는 게 말이 됨? 넷플릭스는 일해라!,#공식굿즈 #재고관리 #넷플릭스일해라,113,217,7515
신라면콜렉터,2025-07-22 4:58,"팝업스토어도 한다는데, 제발 굿즈 수량 넉넉하게 준비해주세요. 또 품절대란 겪기 싫음.",#농심콜라보 #신라면 #새우깡,54,78,4064
헌트릭스오시,2025-07-20 14:27,"결론: 헌트릭스, 사자보이즈 둘 다 데뷔해. 합동 콘서트 기원.",#헌트릭스 #사자보이즈,2,384,1956
사자보이즈팬,2025-07-20 9:09,"성우분들 연기도 좋은데, 노래는 실제 아이돌이 불렀으면 더 좋았을 것 같기도.",#K팝데몬헌터스 #OST #영화리뷰,145,660,9477
헌트릭스컴백좀,2025-07-19 23:43,"공식 굿즈라고는 콜라보 제품밖에 없는데, 그마저도 구하기가 하늘의 별따기.",#공식굿즈 #재고관리,0,256,4524
K컬쳐사랑해,2025-07-19 22:48,콜라보 제품 재고관리가 너무 부실함. 맨날 품절이라 구경도 못 해봤다.,#공식굿즈 #재고관리 #넷플릭스일해라,32,420,6250
더피귀여워,2025-07-15 8:46,제발... 헌트릭스 공식 앨범이랑 포토카드 좀 내주세요... 현기증 난단 말이에요.,#공식굿즈 #재고관리,23,153,11644
음원발매기원,2025-07-14 6:40,새우깡 한 박스 샀는데 미라 얼굴만 12개 나옴... 랜덤 너무 심한 거 아니냐고.,#공식굿즈 #재고관리,100,257,13352
음원발매기원,2025-07-13 9:26,"영상미, 음악 다 좋은데... 러닝타임이 좀 짧아서 아쉬웠음. 2시간은 넘었어야지.",#K팝데몬헌터스 #OST,66,749,8226
미라센터기원,2025-07-12 3:20,솔직히 라이벌인 사자보이즈 컨셉 너무 좋지 않음? 피카레스크 매력 대박.,#헌트릭스 #사자보이즈,24,144,11047
KDH과몰입,2025-07-10 19:42,영화 마지막에 나온 쿠키 영상... 이건 속편 제작 확정이지? ㅠㅠ,#K컬쳐 #세계관 #스토리,45,202,5587
데몬슬레이어,2025-07-08 23:13,영화관 사운드로 들으니까 음악이 진짜... K팝 아이돌 콘서트 온 줄 알았음.,#K팝데몬헌터스 #OST #영화리뷰,9,302,5654
공식굿즈존버단,2025-07-07 2:05,"K팝 아이돌이 귀신 잡는다는 설정, 처음엔 유치할 줄 알았는데 보다보니 꿀잼.",#K컬쳐 #세계관,62,301,2607
음원발매기원,2025-07-07 0:40,"안무가 실제 K팝 안무가가 참여했다던데, 그래서 그런지 퀄리티가 다르네.",#K팝데몬헌터스 #OST,89,799,2583
넷플릭스중독자,2025-07-06 11:08,"사자보이즈 리더, 얼굴은 냉미남인데 알고보니 허당인 거 너무 웃김.",#헌트릭스 #사자보이즈 #루미,140,151,9209
아이돌덕후,2025-07-04 22:28,농심 콜라보 좋다 이거야... 근데 팝업한다면서 물량을 100개만 풀면 어떡하자는 거...,#공식굿즈 #재고관리,146,268,1860
음원발매기원,2025-07-04 18:33,이 인기에 공식 굿즈가 없다는 건... 팬들을 그냥 돈으로만 본다는 거 아닌가? 너무 화남.,#공식굿즈 #재고관리 #넷플릭스일해라,54,195,12082
사자보이즈팬,2025-07-04 7:51,농심... 다음 콜라보는 헌트릭스 포토카드 넣어주는 거죠? 믿습니다.,#농심콜라보 #신라면 #새우깡,2181,9852,333685
사자보이즈팬,2025-07-04 0:34,"결론: 헌트릭스, 사자보이즈 둘 다 데뷔해. 합동 콘서트 기원.",#헌트릭스 #사자보이즈,95,443,10750
K컬쳐사랑해,2025-07-03 15:48,조이가 과거 서사 풀릴 때 오열했다... 우리 막내 행복해야 해.,#헌트릭스 #사자보이즈 #루미,51,726,541
사자보이즈팬,2025-06-30 16:37,제발... 헌트릭스 공식 앨범이랑 포토카드 좀 내주세요... 현기증 난단 말이에요.,#공식굿즈 #재고관리 #넷플릭스일해라,57,748,3200
더피귀여워,2025-06-29 8:44,"스토리가 좀 급전개인 부분이 있긴 한데, 캐릭터 매력으로 다 커버하는 중.",#K컬쳐 #세계관 #스토리,6,775,15003
신라면콜렉터,2025-06-28 19:32,농심 콜라보 좋다 이거야... 근데 팝업한다면서 물량을 100개만 풀면 어떡하자는 거...,#공식굿즈 #재고관리,49,124,3661
아이돌덕후,2025-06-21 12:40,농심... 다음 콜라보는 헌트릭스 포토카드 넣어주는 거죠? 믿습니다.,#농심콜라보 #신라면 #새우깡,31,792,4491
공식굿즈존버단,2025-06-21 9:19,한국 문화 고증이 잘 되어 있어서 외국인 친구들한테 K컬쳐 입문용으로 추천함.,#K컬쳐 #세계관 #스토리,82,563,7842
데몬슬레이어,2025-06-17 11:22,"안무가 실제 K팝 안무가가 참여했다던데, 그래서 그런지 퀄리티가 다르네.",#K팝데몬헌터스 #OST #영화리뷰,135,374,290
포카만들어주세요,2025-06-12 12:37,중간에 PPL 너무 노골적인 거 빼면 다 좋았음.,#K컬쳐 #세계관 #스토리,35,777,12124
K팝데몬헌터,2025-06-09 22:48,영화 초반부에 나온 발라드 OST 음원 발매 시급합니다. 멜로디가 머리에서 떠나질 않아.,#K팝데몬헌터스 #OST,2119,2150,334220
데몬슬레이어,2025-06-07 0:47,콜라보 제품 재고관리가 너무 부실함. 맨날 품절이라 구경도 못 해봤다.,#공식굿즈 #재고관리 #넷플릭스일해라,141,140,2319
미라센터기원,2025-06-02 20:16,공식 굿즈를 안 내주니까 비공식 굿즈 플미만 엄청 붙어서 속상함.,#공식굿즈 #재고관리,133,131,12339
미라센터기원,2025-06-02 17:34,새우깡 한 박스 샀는데 미라 얼굴만 12개 나옴... 랜덤 너무 심한 거 아니냐고.,#공식굿즈 #재고관리 #넷플릭스일해라,2484,3510,64679
